Q;P;n_day_clients;n_day_sells;prod;weekday;year
28;4;54;131;salamella;mar;2021
14;3;54;131;cotto_e_fontina;mar;2021
2;3;54;131;vegetariano;mar;2021
5;3;54;131;speck;mar;2021
5;3;54;131;hot_dog;mar;2021
6;2;54;131;patatine;mar;2021
12;2,5;54;131;birra;mar;2021
1;2;54;131;mozza;mar;2021
10;2,5;54;131;piadine nutella;mar;2021
36;1;54;131;patatine;mar;2021
12;1;54;131;mozza;mar;2021
35;4;46;116;salamella;mer;2021
8;3;46;116;cotto_e_fontina;mer;2021
3;3;46;116;vegetariano;mer;2021
2;3;46;116;speck;mer;2021
6;3;46;116;hot_dog;mer;2021
13;2;46;116;patatine;mer;2021
0;2,5;46;116;birra;mer;2021
2;2;46;116;mozza;mer;2021
2;2,5;46;116;piadine nutella;mer;2021
39;1;46;116;patatine;mer;2021
6;1;46;116;mozza;mer;2021
53;4;61;187;salamella;gio;2021
7;3;61;187;cotto_e_fontina;gio;2021
5;3;61;187;vegetariano;gio;2021
11;3;61;187;speck;gio;2021
7;3;61;187;hot_dog;gio;2021
6;2;61;187;patatine;gio;2021
14;2,5;61;187;birra;gio;2021
1;2;61;187;mozza;gio;2021
13;2,5;61;187;piadine nutella;gio;2021
63;1;61;187;patatine;gio;2021
7;1;61;187;mozza;gio;2021
81;4;92;313;salamella;ven;2021
10;3;92;313;cotto_e_fontina;ven;2021
13;3;92;313;vegetariano;ven;2021
8;3;92;313;speck;ven;2021
19;3;92;313;hot_dog;ven;2021
14;2;92;313;patatine;ven;2021
37;2,5;92;313;birra;ven;2021
7;2;92;313;mozza;ven;2021
4;2,5;92;313;piadine nutella;ven;2021
114;1;92;313;patatine;ven;2021
6;1;92;313;mozza;ven;2021
40;4;83;213;salamella;mar;2022
37;3,5;83;213;speck;mar;2022
22;3,5;83;213;hot_dog;mar;2022
15;3,5;83;213;cotto_e_fontina;mar;2022
0;3,5;83;213;vegetariano;mar;2022
40;2,5;83;213;patatine;mar;2022
16;1,5;83;213;patatine;mar;2022
3;2,5;83;213;panzerotti;mar;2022
5;2,5;83;213;mozza;mar;2022
5;2,5;83;213;piadine nutella;mar;2022
30;3;83;213;birra;mar;2022
90;4;115;297;salamella;mer;2022
17;3,5;115;297;speck;mer;2022
11;3,5;115;297;hot_dog;mer;2022
6;3,5;115;297;cotto_e_fontina;mer;2022
7;3,5;115;297;vegetariano;mer;2022
19;2,5;115;297;patatine;mer;2022
72;1,5;115;297;patatine;mer;2022
15;2,5;115;297;panzerotti;mer;2022
8;2,5;115;297;mozza;mer;2022
9;2,5;115;297;piadine nutella;mer;2022
43;3;115;297;birra;mer;2022
54;4;88;225;salamella;gio;2022
14;3,5;88;225;speck;gio;2022
15;3,5;88;225;hot_dog;gio;2022
7;3,5;88;225;cotto_e_fontina;gio;2022
3;3,5;88;225;vegetariano;gio;2022
18;2,5;88;225;patatine;gio;2022
44;1,5;88;225;patatine;gio;2022
18;2,5;88;225;panzerotti;gio;2022
13;2,5;88;225;mozza;gio;2022
10;2,5;88;225;piadine nutella;gio;2022
29;3;88;225;birra;gio;2022
125;4;213;554;salamella;ven;2022
35;3,5;213;554;speck;ven;2022
38;3,5;213;554;hot_dog;ven;2022
10;3,5;213;554;cotto_e_fontina;ven;2022
12;3,5;213;554;vegetariano;ven;2022
35;2,5;213;554;patatine;ven;2022
124;1,5;213;554;patatine;ven;2022
34;2,5;213;554;panzerotti;ven;2022
31;2,5;213;554;mozza;ven;2022
15;2,5;213;554;piadine nutella;ven;2022
95;3;213;554;birra;ven;2022
15;4,5;54;92;salamella;lun;2023
2;4,5;54;92;cotto_e_fontina;lun;2023
2;3,5;54;92;speck_e_tomino;lun;2023
1;3,5;54;92;speck_e_brie;lun;2023
2;3,5;54;92;pancetta_e_scamorza;lun;2023
1;3,5;54;92;hamburger_suino;lun;2023
12;3,5;54;92;hot_dog;lun;2023
3;3,5;54;92;vegetariano;lun;2023
12;4,5;22;49;salamella;mar;2023
3;4,5;22;49;cotto_e_fontina;mar;2023
1;3,5;22;49;speck_e_tomino;mar;2023
0;3,5;22;49;speck_e_brie;mar;2023
7;3,5;22;49;pancetta_e_scamorza;mar;2023
3;3,5;22;49;hamburger_suino;mar;2023
0;3,5;22;49;hot_dog;mar;2023
2;3,5;22;49;vegetariano;mar;2023
53;4,5;132;302;salamella;mer;2023
8;4,5;132;302;cotto_e_fontina;mer;2023
14;3,5;132;302;speck_e_tomino;mer;2023
3;3,5;132;302;speck_e_brie;mer;2023
1;3,5;132;302;pancetta_e_scamorza;mer;2023
17;3,5;132;302;hamburger_suino;mer;2023
14;3,5;132;302;hot_dog;mer;2023
3;3,5;132;302;vegetariano;mer;2023
43;3,5;132;302;birra;mer;2023
2;1,2;132;302;bibite;mer;2023
53;4,5;94;265;salamella;gio;2023
8;4,5;94;265;cotto_e_fontina;gio;2023
14;3,5;94;265;speck_e_tomino;gio;2023
3;3,5;94;265;speck_e_brie;gio;2023
1;3,5;94;265;pancetta_e_scamorza;gio;2023
17;3,5;94;265;hamburger_suino;gio;2023
14;3,5;94;265;hot_dog;gio;2023
3;3,5;94;265;vegetariano;gio;2023
43;3,5;94;265;birra;gio;2023
2;1,2;94;265;bibite;gio;2023
50;4,5;98;263;salamella;ven;2023
9;4,5;98;263;cotto_e_fontina;ven;2023
4;3,5;98;263;speck_e_tomino;ven;2023
